Pick,current,new,top10,RP5yr_sum,AA,points10,pointsRP5yrSum,pointsAA
1,3000,3000,0.6117106989952763,7098.823713538883,0.29122245661174684,3000,3000,3000
2,2517,2481,0.571877968,6866.7230670858435,0.27636942692405464,2805,2902,2847
3,2234,2178,0.5336660167521734,6640.793547722621,0.2620004426020032,2617,2806,2699
4,2034,1962,0.49713699132354955,6421.332135265386,0.2481427007409664,2438,2714,2556
5,1878,1795,0.4623530383546453,6208.635809530314,0.23482339843631816,2268,2624,2419
6,1751,1659,0.42937630434378643,6003.001550333573,0.22206973278343217,2106,2537,2288
7,1644,1543,0.398268936,5804.726337,0.2099089008776823,1953,2453,2162
8,1551,1443,0.369093079,5614.107150819763,0.19836809981444242,1810,2373,2043
9,1469,1355,0.3419729073505928,5431.836331837021,0.18751970879252686,1677,2296,1932
10,1395,1276,0.31688028283101827,5257.835003881447,0.17736451502277772,1554,2222,1827
11,1329,1205,0.29364888675754897,5091.243319499493,0.16782232761861102,1440,2152,1729
12,1268,1140,0.27211240025694833,4931.201431237614,0.15881295569344253,1335,2084,1636
13,1212,1080,0.25210450445597954,4776.849491642263,0.15025620836068798,1236,2019,1548
14,1161,1024,0.23345888048140606,4627.327653259894,0.14207189473376336,1145,1956,1464
15,1112,973,0.2160092094599912,4481.7760686369575,0.13417982392608432,1059,1894,1382
16,1067,924,0.20116466997876487,4345.966798291907,0.12688256637620152,987,1837,1307
17,1025,879,0.18992856801556188,4224.231245760121,0.1204351499247978,931,1785,1241
18,985,836,0.1815257757833532,4113.548578113449,0.11468606978848736,890,1738,1181
19,948,796,0.17518116549510965,4010.8979624237368,0.10948382118388444,859,1695,1128
20,912,757,0.1701196093638022,3913.2585657628306,0.10467689932760331,834,1654,1078
21,878,721,0.16556597960240169,3817.6095552025786,0.10011379943625821,812,1613,1031
22,845,686,0.16074514842387905,3720.9300978148276,0.095643017,788,1572,985
23,815,653,0.15488198804120518,3620.199360671424,0.091113046,760,1530,939
24,785,621,0.14876223453140489,3516.286122900822,0.086885845,730,1486,895
25,756,590,0.14352240802681873,3412.6097132879786,0.083316801,704,1442,858
26,729,561,0.13891355682339113,3309.9751233894976,0.080244561,681,1399,827
27,703,533,0.1346867292170665,3209.1873447619832,0.077507769,661,1356,798
28,677,505,0.13059297350378926,3111.0513689620384,0.074945069,640,1315,772
29,653,479,0.12638333797950385,3016.372187546267,0.072395107,620,1275,746
30,629,454,0.12180887094015466,2925.954792071273,0.069696527,597,1237,718
31,606,429,0.11679332603635632,2832.9115741266623,0.06645084,573,1197,685
32,584,405,0.11150760908645099,2732.1781427417945,0.062530852,547,1155,644
33,563,382,0.10607349663797448,2627.294316,0.058182157883590074,520,1110,599
34,542,360,0.10061276523846258,2521.7999105162125,0.053650349,493,1066,553
35,522,338,0.095247191,2419.2347451079627,0.04918102,467,1022,507
36,502,317,0.090098552,2323.1386371243825,0.045019762043420716,442,982,464
37,483,297,0.085288623,2237.0514042817044,0.041412168741016366,418,945,427
38,465,277,0.080939181,2164.512864,0.038603833,397,915,398
39,446,257,0.077063548,2103.2206885564865,0.03654816,378,889,376
40,429,238,0.073567194,2048.666624169818,0.034995323,361,866,361
41,412,220,0.070410116,2001.0816024299836,0.033886062,345,846,349
42,395,202,0.067552316,1960.6965546308113,0.033161121409200245,331,829,342
43,378,184,0.06495379,1927.7424120661292,0.032761242,319,815,337
44,362,167,0.062574539,1902.4501060297657,0.032627167,307,804,336
45,347,150,0.060374561684447874,1885.0505678155482,0.032699638,296,797,336
46,331,134,0.058391949,1875.3753823991299,0.033058467,286,793,336
47,316,118,0.056682548,1873.0193122458597,0.033798981,278,792,336
48,302,102,0.055232987704175875,1877.8580548841126,0.034885192259237405,271,792,336
49,287,86,0.054029898,1889.7673078422629,0.036281117,265,792,336
50,273,71,0.053059909367820096,1908.6227686486843,0.037950769,260,792,336
51,259,57,0.052309650858284595,1934.300134831752,0.039858163,257,792,336
52,246,42,0.051765753,1966.675104,0.041967313,254,792,336
53,233,28,0.051414844,2005.6233734413229,0.044242234,252,792,336
54,220,14,0.05124456,2051.090531025006,0.046682653,251,792,336
55,207,0,0.051257056,2103.146714183594,0.049322559,251,792,336
56,194,0,0.051460741,2161.854445271312,0.052177358,251,792,336
57,182,0,0.051864025936838185,2227.276246642385,0.055262458,251,792,336
58,170,0,0.05247532,2299.4746406510367,0.058593266,251,792,336
59,158,0,0.053303033516635706,2378.512149651491,0.062185189,251,792,336
60,146,0,0.054355576,2464.4512959979743,0.066053634,251,792,336
